"# Human-editable source of truth for ride_metadata.json curated fields.",,,,,,,,,,,,,,,
"# Rows whose first cell starts with '#' are comments — ignored on import.",,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,
"# WORKFLOW",,,,,,,,,,,,,,,
"#   1. Edit any cell. Sort/filter by Park to bulk-curate a land.",,,,,,,,,,,,,,,
"#   2. Save the file (CSV format, not xlsx).",,,,,,,,,,,,,,,
"#   3. From repo root:",,,,,,,,,,,,,,,
"#        python3 themed-content/tools/curated_metadata.py import",,,,,,,,,,,,,,,
"#      Use --dry-run for a preview. Vocabulary errors abort the write.",,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,
"# VOCABULARY",,,,,,,,,,,,,,,
"#   Appeal              comma-separated, any of:",,,,,,,,,,,,,,,
"#                       characterMeet, princess, nostalgia, icon,",,,,,,,,,,,,,,,
"#                       photoOp, parade, fireworks, airConditioned",,,,,,,,,,,,,,,
"#   BucketFit_*         empty (= no opinion) OR one of:",,,,,,,,,,,,,,,
"#                       skip, okay, great, mustDo",,,,,,,,,,,,,,,
"#   Popularity          empty OR one of: low, medium, high, iconic",,,,,,,,,,,,,,,
"#                       Drives the suggester ranking when live wait-",,,,,,,,,,,,,,,
"#                       time data is missing (closed-hour planning).",,,,,,,,,,,,,,,
"#   FeaturedCharacters  comma-separated character names (e.g.",,,,,,,,,,,,,,,
"#                       ""Mickey Mouse, Minnie Mouse""). Scaffold",,,,,,,,,,,,,,,
"#                       guesses these from the ride name; review.",,,,,,,,,,,,,,,
"#   Mobility            comma-separated MobilityAccess flags. Any of:",,,,,,,,,,,,,,,
"#                       mayRemainInWheelchair, mustBeAmbulatory,",,,,,,,,,,,,,,,
"#                       mustTransferFromWheelchair,",,,,,,,,,,,,,,,
"#                       mustTransferFromECVToWheelchair,",,,,,,,,,,,,,,,
"#                       wheelchairAccessVehicle, transferDeviceAvailable,",,,,,,,,,,,,,,,
"#                       designatedTransferAreas, transferAccessVehicle.",,,,,,,,,,,,,,,
"#                       Empty = uncurated; the app emits no wheelchair",,,,,,,,,,,,,,,
"#                       warning. Curate from Disney's Guide for Guests",,,,,,,,,,,,,,,
"#                       with Disabilities — see docs/accessibility_curation.md.",,,,,,,,,,,,,,,
"#   ServiceAnimals      empty (= permitted normally) OR one of:",,,,,,,,,,,,,,,
"#                       permitted_with_caution, not_permitted.",,,,,,,,,,,,,,,
"#                       `not_permitted` hard-blocks for service-animal",,,,,,,,,,,,,,,
"#                       users; `permitted_with_caution` shows a soft",,,,,,,,,,,,,,,
"#                       warning.",,,,,,,,,,,,,,,
"#   SensoryHazards      comma-separated SensoryHazard rawValues. Any of:",,,,,,,,,,,,,,,
"#                       strobe, loudSounds, darkness, drops, smokeOrFog.",,,,,,,,,,,,,,,
"#                       Empty = uncurated (no warning). Write the",,,,,,,,,,,,,,,
"#                       explicit list when you've verified against",,,,,,,,,,,,,,,
"#                       official sources, even if no hazards apply.",,,,,,,,,,,,,,,
"#   Notes               freeform; sparingly, for facts the typed",,,,,,,,,,,,,,,
"#                       fields miss",,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,
"# TIPS",,,,,,,,,,,,,,,
"#   - Tag the ~15 park-defining attractions with 'icon' Appeal AND",,,,,,,,,,,,,,,
"#     'iconic' Popularity first — biggest win for the suggester before",,,,,,,,,,,,,,,
"#     the rest of the data lands.",,,,,,,,,,,,,,,
"#   - BucketFit can stay sparse; resolver defaults absent buckets to okay.",,,,,,,,,,,,,,,
"#   - Re-running 'scaffold' preserves your edits and adds rows for any",,,,,,,,,,,,,,,
"#     newly-graphed attractions. Character guesses are only seeded on",,,,,,,,,,,,,,,
"#     blank rows so re-runs never overwrite reviewed values.",,,,,,,,,,,,,,,
"#   - Accessibility data is high-stakes; the in-app disclaimer assumes",,,,,,,,,,,,,,,
"#     curated entries are correct. Under-promise: omit a field when",,,,,,,,,,,,,,,
"#     you're unsure rather than guess (uncurated = no warning fires,",,,,,,,,,,,,,,,
"#     which lets the user's own judgement carry).",,,,,,,,,,,,,,,
Attraction,EntityID,Park,Appeal,BucketFit_toddler,BucketFit_child,BucketFit_tween,BucketFit_teen,BucketFit_adult,BucketFit_senior,Popularity,FeaturedCharacters,Mobility,ServiceAnimals,SensoryHazards,Notes
Radiator Springs Racers,c60c768b-3461-465c-8f4f-b44b087506fc,california-adventure,icon,,,,,,,iconic,,,,,
Redwood Creek Challenge Trail,c9803366-6f37-4406-82af-7692357e3ca9,california-adventure,,,,,,,,,,,,,
Silly Symphony Swings,4f5b28d0-b78e-482b-8e2e-1f90756d6220,california-adventure,,,,,,,,,,,,,
Soarin' Over California,77f205a4-d482-4d91-a5ff-71e54a086ad2,california-adventure,,,,,,,,,,,,,
Sorcerer's Workshop,44c1f655-25d3-440c-b1a8-db736a12b105,california-adventure,,,,,,,,,,,,,
The Amazing Spider-Man!,bdb0a3ec-eb7a-41c9-918f-ccee7194743e,california-adventure,icon,great,,,,,,iconic,Spider-Man,,,,
The Bakery Tour,eb77ee1f-3207-44fd-acfc-d7bc18602007,california-adventure,icon,,,,,,,iconic,,,,,
The Little Mermaid - Ariel's Undersea Adventure,e1fbc7a1-2cd1-4282-b373-ac11d9d9d38a,california-adventure,,mustDo,,,,,,,Ariel,,,,
Toy Story Midway Mania!,86ab3069-110d-49c5-a7e7-29ddf28695a6,california-adventure,,great,,,,,,,,,,,
Turtle Talk with Crush,7561bcd8-18ea-4e3f-89d5-c905b7ba3d42,california-adventure,characterMeet,mustDo,,,,,,,,,,,
Warriors of Wakanda: The Disciplines of the Dora Milaje,1b6a816a-337c-431c-8df6-72f993e15e64,california-adventure,,,,,,,,,,,,,
WEB SLINGERS: A Spider-Man Adventure,2295351d-ce6b-4c04-92d5-5b416372c5b5,california-adventure,icon,great,,,,,,iconic,Spider-Man,,,,
World of Color Happiness!,457e2029-852f-4de7-9ca0-e4cc6f0cfcad,california-adventure,,,,,,,,,,,,,
"""it's a small world""",3638ac09-9fce-4a43-8c79-8ebbe17afce2,disneyland,icon,mustDo,,,,,,iconic,,,,,
Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,e27b1db8-9ec9-4f8b-9ca6-fd6377de66ee,disneyland,,,,,,,,,,,,,
Alice in Wonderland,a07f3110-013e-43bb-a182-e66bb8b5e28d,disneyland,,okay,,,,,,,Alice,,,,
Astro Orbitor,6c225598-91c9-44a3-95e2-7c423475db61,disneyland,,mustDo,,,,,,,,,,,
Autopia,1da85181-bf0f-4ccc-b98e-243142f7347b,disneyland,,mustDo,,,,,,,,,,,
Big Thunder Mountain Railroad,0de1413a-73ee-46cf-af2e-c491cc7c7d3b,disneyland,icon,,mustDo,mustDo,mustDo,mustDo,great,iconic,,,,,
Bluey's Best Day Ever!,95a9cde3-ff1f-40a3-8276-2477ded688f8,disneyland,characterMeet,,,,,,,,,,,,
Bluey’s Best Day Ever! at Fantasyland Theatre,888525b0-5a6f-4b8e-9f07-b6a32812b04d,disneyland,,,,,,,,,,,,,
Buzz Lightyear Astro Blasters,88197808-3c56-4198-a5a4-6066541251cf,disneyland,,great,,,,,,,Buzz Lightyear,,,,
Casey Jr. Circus Train,8e686e4c-f3db-4d9c-a185-2d54b1fa8899,disneyland,,mustDo,,,,,,,,,,,
Chip 'n' Dale's GADGETcoaster,59647168-d239-4161-8b24-92eb128e96fb,disneyland,,great,,,,,,,"Chip, Dale",,,,
Davy Crockett's Explorer Canoes,5bd95ae8-181d-449c-8f04-a621e2448961,disneyland,,,,,,,,,,,,,
"Disneyland Band at ""it's a small world"" Promenade",78568c55-6dcb-4893-a14e-ba7ed9bddaff,disneyland,,,,,,,,,,,,,
Disneyland Band at Castle Promenade,228b9736-f889-469f-92f7-0e89bf150d5c,disneyland,,,,,,,,,,,,,
Disneyland Band at Frontierland,cb84b53c-dbb5-483d-a717-00d9259c6484,disneyland,,,,,,,,,,,,,
"Disneyland Band at Main Street, U.S.A.",a6760f7b-3489-47df-9547-d70dd2d8cb76,disneyland,,,,,,,,,,,,,
Disneyland Monorail,56d0bd6d-5106-4420-8f60-0005475c04c3,disneyland,,,,,,,,,,,,,
Disneyland Railroad,e2d460e9-2bef-4613-b126-092ab7cb37e5,disneyland,,mustDo,,,,,,,,,,,
Donald's Duck Pond,ca32ef8a-ae0d-4c24-bf4f-e59192122e01,disneyland,,great,,,,,,,Donald Duck,,,,
Dumbo the Flying Elephant,cc980e8e-192f-48b6-848c-27784084e54b,disneyland,,mustDo,,,,,,,Dumbo,,,,
Fantasmic!,8c36ff0b-3a32-4d7b-9388-0516c19277db,disneyland,"characterMeet, fireworks",,,,,,,,,,,,
Fantasy Faire,645c11b7-51f7-41d5-9764-5a7fa9d2535c,disneyland,characterMeet,,,,,,,,,,,,
Finding Nemo Submarine Voyage,64d44aaa-6857-4693-b24b-bcff6c6dcfa1,disneyland,,,,,,,,,,,,,
Fire of the Rising Moons,e9ef1443-c735-43b6-81c6-45e53527cf93,disneyland,fireworks,,,,,,,,,,,,
Flag Retreat Ceremony,eeafc865-a4e0-4dc5-9cea-446108bf7d48,disneyland,,,,,,,,,,,,,
Fortune Tellers,c2997e65-6db0-413f-a2db-ee995711d931,disneyland,,,,,,,,,,,,,
Frontierland Shootin' Exposition,835deb74-de54-4d7f-9dc4-dacab90fcb60,disneyland,,,,,,,,,,,,,
Goofy's How-to-Play Yard,b0eca3d3-a519-47f9-a5a7-9911126da2df,disneyland,,great,,,,,,,Goofy,,,,
Great Moments with Mr. Lincoln,1b23667a-d8fb-436d-8952-c3e3f2e56d13,disneyland,,,,,,,,,,,,,
Haunted Mansion,ff52cb64-c1d5-4feb-9d43-5dbd429bac81,disneyland,icon,okay,,,,,,iconic,,,,,
Indiana Jones™ Adventure,2aedc657-1ee2-4545-a1ce-14753f28cc66,disneyland,icon,,mustDo,mustDo,mustDo,mustDo,great,iconic,Indiana Jones,,,,
Jambalaya Jazz,3220fd76-38e4-49a4-afa3-4842c07203fa,disneyland,,,,,,,,,,,,,
Jambalaya Jazz Band on the Mark Twain Riverboat,640525ab-75db-4f3c-b917-27ecb7b5ef97,disneyland,,,,,,,,,,,,,
Jungle Cruise,1b83fda8-d60e-48e4-9a3d-90ddcbcd1001,disneyland,icon,mustDo,,,,,,iconic,,,,,
Key to Disneyland,11209961-2ac2-4f76-a11b-ed793939f796,disneyland,,,,,,,,,,,,,
King Arthur Carrousel,f7904912-3f08-4563-b99e-fd59f43cc9f2,disneyland,,mustDo,,,,,,,,,,,
Mad Tea Party,e0cfed11-96d7-40f3-907f-5cfed172592a,disneyland,,mustDo,,,,,,,,,,,
Main Street Cinema,f5bb0d14-7eee-4ede-9230-eb256ce3664c,disneyland,,,,,,,,,,,,,
Main Street Piano Player,8b12916b-a384-4305-838a-c4b07affbb14,disneyland,,,,,,,,,,,,,
Main Street Vehicles,bcfd1e17-3eab-4203-b597-6257a257d427,disneyland,,mustDo,,,,,,,,,,,
Mark Twain Riverboat,6c30d5b0-8c0a-406f-9258-0b6c55d4a5e4,disneyland,,,,,,,,,,,,,
Matterhorn Bobsleds,faaa8be9-cc1e-4535-ac20-04a535654bd0,disneyland,,,great,great,great,great,okay,,,,,,
Meet Disney Princesses at Royal Hall,33cbbd09-6d93-40d7-b758-9d7b7d3fd2eb,disneyland,characterMeet,,,,,,,,,,,,
Mickey & Minnie's Runaway Railway,cd670bff-81d1-4f34-8676-7bafdf49220a,disneyland,icon,okay,,,,,,iconic,"Mickey Mouse, Minnie Mouse",,,,
Mickey's House and Meet Mickey Mouse,5a107a57-9174-4f3f-9be7-625a5d5bb899,disneyland,,,,,,,,,Mickey Mouse,,,,
Mickey's House and Meet Mickey Mouse,87387057-47ab-4d0b-8eed-2e6c9d23577b,disneyland,,,,,,,,,Mickey Mouse,,,,
Millennium Falcon: Smugglers Run,b2c2549c-e9da-4fdd-98ea-1dcff596fed7,disneyland,,,mustDo,,,,,,,,,,
Minnie's House,c02fb82d-0860-4e95-8c61-899fa594d20e,disneyland,characterMeet,,,,,,,,Minnie Mouse,,,,
Mr. Toad's Wild Ride,9d401ad3-49b2-469f-ac73-93eb429428fb,disneyland,,okay,,,,,,,Mr. Toad,,,,
Opera House - Walt Disney - A Magical Life,6e2af074-3a67-4f38-9bcf-2f5a572c87df,disneyland,,,,,,,,,,,,,
Paint the Night,c60e9de0-df2b-4484-9b05-299939dc247a,disneyland,parade,,,,,,,,,,,,
Pearly Band at Castle Courtyard,9212c98b-3638-4f0b-bf42-2e2848330e1d,disneyland,,,,,,,,,,,,,
"Pearly Band near ""it's a small world""",4119dd28-6da8-46a0-9246-bea86e07ac61,disneyland,,,,,,,,,,,,,
Peter Pan's Flight,c23af6ba-8515-406a-8a48-d0818ba0bfc9,disneyland,,great,,,,,,,Peter Pan,,,,
Pinocchio's Daring Journey,90ee50d4-7cc9-4824-b29d-2aac801acc29,disneyland,,okay,,,,,,,Pinocchio,,,,
Pirate's Lair on Tom Sawyer Island,07952343-3498-404b-8337-734de9a185c1,disneyland,,,,,,,,,,,,,
Pirates of the Caribbean,82aeb29b-504a-416f-b13f-f41fa5b766aa,disneyland,,okay,,,,,,,,,,,
Roger Rabbit's Car Toon Spin,6ce9cdd1-0a43-459e-83cd-f4cace9cfa7b,disneyland,,great,great,,,,,,Roger Rabbit,,,,
Sailing Ship Columbia,c9e39189-7e99-4e0a-97e0-4a0d5654d257,disneyland,,,,,,,,,,,,,
Shadows of Memory: A Skywalker Saga,fa0ef252-8002-4c39-934b-46c3231d206e,disneyland,,,,,,,,,,,,,
Sleeping Beauty Castle Walkthrough,90d5a091-478c-4df1-adfe-c605b4005013,disneyland,,,,,,,,,Aurora,,,,
Snow White's Enchanted Wish,4f0053e7-b8db-4833-b02f-35e1c91b4523,disneyland,,okay,,,,,,,Snow White,,,,
